,old_name,plant_species,plant_family,flower_symmetry,lifespan,life_form,ps_pathway,flower_shape,breeding_system,bloom_period,bloom_period_simple,nectar,odour,color,flower_width_midpoint_mm,flower_length_midpoint_mm,style_length_midpoint_mm,plant_height_midpoint_m
39,Durio oblongus,Durio oblongus,Malvaceae,actinomorphic,perennial,tree,C3,open,hermaphrodite,day,day,present,present,white,95,37.5,67.5,25
40,Echium simplex,Echium simplex,Boraginaceae,actinomorphic,perennial,herb,C3,tube,hermaphrodite,dawn,day,present,present,white,5,12.5,17.5,3
41,Encholirium spectabile,Encholirium spectabile,Bromeliaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,present,green,20,15,10,2.5
42,Escallonia myrtoidea,Escallonia myrtoidea,Escalloniaceae,actinomorphic,perennial,tree,C3,campanulate,hermaphrodite,both,both,present,present,white,85,65,65,6
43,Eupatorium perfoliatum,Eupatorium perfoliatum,Asteraceae,actinomorphic,perennial,herb,C3,capitulum,hermaphrodite,NA,NA,present,present,white,3,5,6,1
44,Faramea cyanea,Faramea occidentalis,Rubiaceae,actinomorphic,perennial,tree,C3,tube,hermaphrodite,night,night,present,present,white,14,17,9,9
45,Grazielia intermedia,Grazielia intermedia,Asteraceae,actinomorphic,perennial,herb,C3,capitulum,dioecious,day,day,present,present,white,2,4,6,2.5
46,Grevillea robusta,Grevillea robusta,Proteaceae,zygomorphic,perennial,tree,C3,brush,hermaphrodite,day,day,present,present,orange,2,23,17.5,17.5
47,Guettarda scabra,Guettarda scabra,Rubiaceae,actinomorphic,perennial,shrub,C3,tube,hermaphrodite,dusk,night,present,present,white,11.66,15.1,16.9,3.25
48,Gymnadenia conopsea,Gymnadenia conopsea,Orchidaceae,zygomorphic,perennial,herb,C3,papilionaceous,hermaphrodite,day,day,present,present,pink,10.34,15,1.5,0.237
49,Inga ingoides,Inga ingoides,Fabaceae,actinomorphic,perennial,tree,C3,brush,hermaphrodite,day,day,present,present,white,5,14,73,20
50,Inga striata,Inga striata,Fabaceae,actinomorphic,perennial,tree,C3,brush,hermaphrodite,day,day,present,present,white,4,10,71,20
51,Inga vera,Inga vera,Fabaceae,actinomorphic,perennial,tree,C3,brush,hermaphrodite,day,day,present,present,white,6,14,45,20
52,Ipomoea carnea,Ipomoea carnea,Convolvulaceae,actinomorphic,perennial,shrub,C3,tube,hermaphrodite,both,both,present,present,pink,88.6,79.1,18.8,1.5
53,Ipomoea habeliana,Ipomoea habeliana,Convolvulaceae,actinomorphic,perennial,vine,C3,tube,hermaphrodite,dusk,night,present,present,white,60,110,150,8
54,Ipomoea marcellia,Ipomoea marcellia,Convolvulaceae,actinomorphic,perennial,vine,C3,tube,hermaphrodite,day,day,present,present,white,22.7,57.5,55.94,1.75
55,Ipomopsis aggregata,Ipomopsis aggregata,Polemoniaceae,actinomorphic,short-lived,herb,C3,tube,hermaphrodite,dusk,night,present,present,red,2.5,32.5,25.5,0.9
56,Isertia laevis,Isertia laevis,Rubiaceae,actinomorphic,perennial,tree,C3,tube,hermaphrodite,night,night,present,present,white,32.4,41,42,15
57,Jatropha curcas,Jatropha curcas,Euphorbiaceae,actinomorphic,perennial,tree,CAM,campanulate,monoecious,day,day,present,present,green,8.47,4.44,7.59,12.5
58,Lagenaria siceraria,Lagenaria siceraria,Cucurbitaceae,actinomorphic,short-lived,vine,C3,tube,monoecious,dusk,night,present,present,white,95,9.4,3.5,9
59,Leptocereus scopulophilus,Leptocereus scopulophilus,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,present,white,36,53,37,4
60,Echinopsis chiloensis,Leucostele chiloensis,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,present,white,85,150,90.4,4.5
